,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO-alpha3 code
36,Canada,..,76.45116,75.1959,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.84148,..,47.01728,45.59181,..,..,..,CAN
37,Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.53909,7.72472,8.34731,7.66858,4.30456,..,..,CPV
38,Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.33336,20.92457,22.32497,19.14435,17.81232,17.04739,..,16.44334,..,..,20.82298,22.1467,23.77858,25.43834,25.82649,25.99019,..,CYM
39,Central African Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,CAF
40,Chad,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77.59146,..,75.20045,75.74811,..,..,..,..,..,..,TCD
41,Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,90.35792,89.84911,88.65065,86.57767,85.25007,84.64403,..,..,..,..,..,..,..,..,..,..,..,78.10454,76.9069,..,..,
42,Chile,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,CHL
43,China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.97788,4.77419,7.10223,5.49454,5.71606,7.24888,5.58059,5.81088,6.07635,6.4127,6.95289,..,CHN
44,"China, Hong Kong Special Administrative Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,HKG
45,"China, Macao Special Administrative Region",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.98451,23.20262,21.63575,21.60268,21.33935,21.41176,20.62917,20.59914,19.76941,14.60623,17.31424,8.55944,8.78192,8.78401,8.48776,5.83138,4.87668,..,MAC
46,Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.33958,..,20.13534,..,..,..,..,..,..,18.56538,12.88042,10.20702,14.76227,19.3286,21.93343,23.52601,23.63403,25.07266,24.97067,23.30382,18.16497,19.85093,19.5499,19.10031,18.80024,16.52769,11.3279,7.92004,..,COL
47,Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.86273,12.24424,9.47173,9.16745,7.31129,6.42153,5.31927,6.03668,4.67955,7.21681,8.14511,8.03842,8.51505,..,COM
48,Congo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.93004,36.34852,..,..,39.64952,..,COG
49,Cook Islands,..,..,..,..,52.90053,..,45.24625,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,COK
50,Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.16547,35.33619,24.4529,..,..,..,..,16.90909,..,12.02652,..,..,15.79439,7.76153,9.04018,9.96678,12.8149,8.86486,12.58286,..,..,CRI
51,Côte d'Ivoire,46.19677,..,..,42.13064,..,46.06133,46.62442,..,..,42.13053,..,43.27227,45.97615,..,..,47.93263,46.62219,45.56869,..,43.72173,42.19225,40.45659,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.69279,12.36203,10.96331,9.90246,8.56949,7.17036,..,..,
52,Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.17513,..,60.72643,57.29324,..,HRV
53,Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.11841,13.6239,13.43136,12.62996,11.13469,..,8.82042,..,..,6.05016,2.14137,1.5716,3.22376,2.22212,2.88924,3.99409,4.75788,6.30461,..,..,CUB
54,Curaçao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.88392,26.05943,25.52032,23.61477,25.32648,23.34911,25.0647,..,33.78187,..,..,..,..,16.42579,14.33399,12.2489,13.84819,12.00875,11.63556,9.93924,8.73768,10.18644,11.41046,12.84752,10.20359,9.24242,9.31519,9.11242,8.30513,9.43378,9.48648,7.6419,..,CUW
55,Cyprus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,CYP
56,Czechia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.20588,9.83419,9.74962,4.98701,3.39584,5.07581,3.48887,3.35486,1.77877,1.16689,1.62187,7.98542,7.76155,5.48201,4.49009,3.1445,3.57677,..,..,..,CZE
57,Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.67527,1.00554,..,1.02614,..,..,..,..,..,..,..,..,6.32045,4.61971,2.628,0.88459,..,..,PRK
58,Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.35676,..,..,..,COD
59,Denmark,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.79308,68.21384,73.54093,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,DNK
60,Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.39271,..,9.04403,9.3892,7.41371,..,6.10936,5.93535,6.73693,6.8594,6.63843,6.47652,6.43583,5.17215,6.12217,6.1198,6.52012,6.60075,6.16857,..,..,DJI
61,Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83.65934,83.05306,..,78.77513,79.07149,..,..,71.6474,..,..,..,..,..,..,62.64945,..,..,..,DMA
62,Dominican Republic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.19452,6.82467,8.40772,..,7.8163,6.71937,5.26001,15.15593,..,..,13.53623,13.55431,15.11734,..,..,..,10.43796,4.55423,..,..,DOM
63,Ecuador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.06861,28.25653,..,15.33347,..,24.90564,21.6722,..,13.21778,14.64939,21.82733,19.70864,20.03206,19.92488,17.2085,16.07908,15.98,15.4104,15.86069,..,ECU
64,Egypt,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.77445,38.25395,38.18444,38.05578,37.96689,37.99785,..,35.52396,34.56358,33.2736,..,15.3597,13.51654,9.73742,7.87092,11.95508,12.04938,9.88434,8.06119,..,..,EGY
65,El Salvador,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.03231,..,15.57966,15.76566,..,SLV
66,Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.1647,32.09716,29.64362,..,..,22.31809,23.18049,23.08374,23.46478,22.83272,20.82391,19.87277,19.02456,17.2782,18.30067,20.60078,22.88485,26.74156,..,GNQ
67,Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,ERI
68,Estonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.99385,70.14634,..,69.11904,..,69.12002,67.68912,70.19794,70.8767,69.85754,72.06304,70.90917,70.72015,70.22272,69.29002,67.57808,65.75228,65.30636,65.00613,63.24946,63.27642,65.9128,..,65.93804,..,EST
69,Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.66212,5.30626,3.5787,2.61939,2.03548,2.21073,3.10037,2.50864,1.78724,1.5814,2.99879,4.65393,5.58787,5.94922,6.25781,5.96656,4.43061,3.34125,1.98677,..,..,SWZ
70,Ethiopia,..,59.11674,56.8811,..,51.03349,51.34956,50.71741,49.12133,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.45924,24.91206,24.95313,23.54518,22.40695,21.67556,19.88696,..,..,..,ETH
71,Faeroe Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.41485,79.92538,77.89578,75.65799,..,..,..,..,..,..,..,..,..,..,..,56.36099,57.26302,..,..,..,
72,Falkland Islands (Malvinas),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,FLK
73,Fiji,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,FJI
74,Finland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.01786,20.12839,18.58391,16.20068,15.88249,11.14945,..,12.28129,14.03903,..,13.23505,..,9.79831,9.79768,..,..,..,..,..,..,FIN
75,France,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.75776,4.64717,4.30817,4.25437,4.06154,3.77829,4.78825,3.77909,3.12783,2.97144,3.74287,4.41189,4.84135,5.31761,5.86324,4.1369,4.15825,3.2092,2.56584,..,..,FRA
76,French Guiana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.20988,6.63064,6.92531,6.9597,7.15802,7.37052,3.12203,3.28204,3.26282,3.1309,3.07373,3.14844,3.4316,3.25233,3.30657,3.18965,3.25315,3.27775,..,..,GUF
77,French Polynesia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,PYF
78,Gabon,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,GAB
79,Gambia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,GMB
80,Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,GEO
81,Germany,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.25451,23.40214,..,..,..,..,..,..,..,19.9045,16.047,..,15.73278,..,..,..,..,8.53709,4.68954,3.75809,3.4396,2.36809,..,DEU
82,Ghana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,GHA
83,Gibraltar,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.62413,54.13338,54.34007,51.88872,53.37711,..,45.91874,38.32463,33.06496,32.24031,33.10051,..,..,..,25.79159,29.60165,23.81251,23.7994,23.3846,22.07195,GIB
84,Greece,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,GRC
85,Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.11361,16.76014,16.78539,15.30508,13.57926,14.49559,13.56669,8.01399,9.13545,12.99962,..,..,7.63409,..,..,9.0776,10.7014,9.37085,9.24688,..,..,GRL
86,Grenada,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,GRD
87,Guadeloupe,..,..,11.05284,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.05017,19.18719,12.39493,18.65683,..,..,..,..,..,..,..,16.62898,14.77249,7.80807,1.99776,19.83395,..,GLP
88,Guam,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,GUM
89,Guatemala,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,GTM
90,Guernsey,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.67849,63.27332,59.49553,57.79007,..,..,..,..,..,48.55095,46.52388,42.7596,44.47442,45.40176,45.87185,46.14479,46.22505,47.33955,48.13072,..,GGY
91,Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,GIN
92,Guinea-Bissau,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,86.6485,..,83.06936,80.24929,78.15543,76.56159,72.75736,70.33794,..,..,..,..,67.34807,..,..,65.29735,..,..,..,..,GNB
93,Guyana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.17026,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,GUY
94,Haiti,..,30.78189,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.0181,..,8.8067,12.7987,..,..,..,..,..,..,HTI
95,Holy See,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,VAT
96,Honduras,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,HND
97,Hungary,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.55835,42.6923,41.98589,41.85708,41.64573,..,HUN
98,Iceland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.66638,14.22834,10.53803,9.39363,7.33812,5.90222,5.15955,7.47458,5.83152,5.6486,5.75453,6.08866,7.05368,7.48219,8.49644,8.04377,7.19164,7.01479,7.70211,8.04803,..,..,ISL
99,India,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.18381,13.82451,15.27251,15.96599,14.42241,13.70826,12.66553,10.11794,9.43028,8.5449,9.71924,11.53201,10.92815,12.27907,11.78418,10.2517,9.82853,9.13776,8.04922,..,..,IND
