,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,M49 code,ISO-alpha3 code
46,Colombia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.37011,8.2913,6.94952,6.69993,5.4703,4.86049,4.163,5.87702,5.64407,7.35867,7.43548,7.16934,7.35868,..,170,COL
47,Comoros,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.81585,27.54582,..,..,28.00023,..,174,COM
48,Congo,..,..,..,..,34.30284,..,28.19763,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,178,COG
49,Cook Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.45127,25.83893,14.24515,..,..,..,..,9.75561,..,9.47213,..,..,9.84259,5.74022,5.91423,7.29484,8.5398,8.58804,9.42495,..,..,184,COK
50,Costa Rica,26.16834,..,..,23.50669,..,25.51537,25.14702,..,..,25.44856,..,25.62026,27.54075,..,..,28.75176,27.11325,26.31171,..,25.20999,24.51915,23.45556,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.82787,6.12207,5.91061,6.59243,5.89207,5.00448,..,..,188,CRI
51,Côte d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.29743,..,38.86794,36.16957,..,,
52,Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.11253,11.40377,10.68317,9.51659,8.02413,..,6.14656,..,..,4.52729,4.09788,2.36694,2.79269,1.6528,2.127,2.89185,3.3864,4.45491,..,..,191,HRV
53,Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.34647,18.25948,18.26824,17.03068,17.77198,16.40671,15.80962,..,17.6955,..,..,..,..,8.5249,8.08052,7.61712,8.65798,8.78225,8.83853,7.92684,7.06762,7.06419,7.14528,6.72872,5.31399,4.79824,5.02747,5.02622,5.94244,7.15746,7.01476,5.43462,..,192,CUB
54,Curaçao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,531,CUW
55,Cyprus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.1732,5.79375,6.05801,3.11139,2.299,3.22632,1.94616,2.01743,1.30991,1.24118,1.41227,4.74381,4.66351,3.74291,3.36038,2.70102,2.73676,..,..,..,196,CYP
56,Czechia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,203,CZE
57,Democratic People's Republic of Korea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,408,PRK
58,Democratic Republic of the Congo,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.00858,56.76182,59.04229,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,180,COD
59,Denmark,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.63973,..,4.95543,4.36676,3.42788,..,3.4582,4.47945,4.64296,4.44978,4.46769,4.46616,4.57831,3.32535,3.5766,3.43203,3.78449,3.69495,3.25203,..,..,208,DNK
