,Both,CountryCode,Secondary,Primary,Country,Mortality
331,..,,7.73983,6.83978,,
332,..,,7.73983,4.20922,,
333,..,,7.73983,3.02331,,
334,..,,7.73983,6.13284,,
335,..,,7.73983,4.15171,,
336,..,,7.73983,9.71081,,
337,..,,7.73983,2.55844,,
338,..,,7.73983,22.1755,,
339,..,,7.73983,2.89136,,
340,..,,7.73983,2.15194,,
341,..,,7.73983,3.94069,,
342,..,,7.73983,..,,
343,..,,7.73983,9.81407,,
344,..,,7.73983,12.28954,,
345,..,,7.73983,4.39052,,
346,..,,7.73983,3.07241,,
347,..,,7.73983,4.34201,,
348,..,,7.73983,4.15255,,
349,..,,7.73983,2.61416,,
350,..,,7.73983,6.83978,,
351,..,,7.73983,22.99368,,
352,..,,7.73983,11.03201,,
353,..,,7.73983,..,,
354,..,,7.73983,22.26003,,
355,..,,7.73983,10.66408,,
356,..,,7.73983,8.01748,,
357,..,,7.73983,3.71165,,
358,..,,7.73983,2.75513,,
359,..,,7.73983,,,
360,..,,7.73983,,,
361,..,,7.73983,,,
362,..,,7.73983,,,
363,..,,7.73983,,,
364,..,,7.73983,,,
365,..,,..,..,,
366,..,,..,15.08671,,
367,..,,..,..,,
368,..,,..,..,,
369,..,,..,6.27012,,
370,..,,..,..,,
371,..,,..,..,,
372,..,,..,..,,
373,..,,..,..,,
374,..,,..,..,,
375,..,,..,9.81407,,
376,..,,..,20.36703,,
377,..,,..,20.46128,,
378,..,,..,11.21139,,
379,..,,..,23.00016,,
380,..,,..,11.18052,,
381,..,,..,10.00761,,
382,..,,..,12.35377,,
383,..,,..,6.72871,,
384,..,,..,2.9226,,
385,..,,..,6.83978,,
386,..,,..,4.20922,,
387,..,,..,3.02331,,
388,..,,..,6.13284,,
389,..,,..,4.15171,,
390,..,,..,9.71081,,
391,..,,..,2.55844,,
392,..,,..,22.1755,,
393,..,,..,2.89136,,
394,..,,..,2.15194,,
395,..,,..,3.94069,,
396,..,,..,..,,
397,..,,..,9.81407,,
398,..,,..,12.28954,,
399,..,,..,4.39052,,
400,..,,..,3.07241,,
401,..,,..,4.34201,,
402,..,,..,4.15255,,
403,..,,..,2.61416,,
404,..,,..,6.83978,,
405,..,,..,22.99368,,
406,..,,..,11.03201,,
407,..,,..,..,,
408,..,,..,22.26003,,
409,..,,..,10.66408,,
410,..,,..,8.01748,,
411,..,,..,3.71165,,
412,..,,..,2.75513,,
413,..,,..,,,
414,..,,..,,,
415,..,,..,,,
416,..,,..,,,
417,..,,..,,,
418,..,,..,,,
419,..,,..,..,,
420,..,,..,15.08671,,
421,..,,..,..,,
422,..,,..,..,,
423,..,,..,6.27012,,
424,..,,..,..,,
425,..,,..,..,,
426,..,,..,..,,
427,..,,..,..,,
428,..,,..,..,,
429,..,,..,9.81407,,
430,..,,..,20.36703,,
431,..,,..,20.46128,,
432,..,,..,11.21139,,
433,..,,..,23.00016,,
434,..,,..,11.18052,,
435,..,,..,10.00761,,
436,..,,..,12.35377,,
437,..,,..,6.72871,,
438,..,,..,2.9226,,
439,..,,..,6.83978,,
440,..,,..,4.20922,,
441,..,,..,3.02331,,
442,..,,..,6.13284,,
