,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ISO-alpha3 code
29,British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,VGB
30,Brunei Darussalam,..,..,..,..,..,..,..,11.43762,11.0247,20.46771,20.71085,23.43429,24.96509,23.60473,22.72039,..,19.82966,..,..,..,..,10.92126,8.17814,4.52988,4.77612,1.84571,..,..,..,..,..,..,..,..,..,..,..,..,..,2.92356,..,..,3.6933,2.28185,3.89948,4.71779,3.55435,3.78184,..,BRN
31,Bulgaria,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.27673,5.80369,3.99464,3.26549,3.72177,3.68376,4.26263,3.80014,3.08912,4.28056,3.5373,0.68903,0.23202,0.27142,0.26406,0.25569,2.16056,3.60595,3.96957,5.27509,7.03937,..,..,BGR
32,Burkina Faso,..,92.56846,92.11109,..,..,..,..,90.65816,90.32578,89.91361,89.1952,88.51163,87.49416,86.34586,85.48625,83.97978,82.32782,81.20657,80.70883,80.25722,..,78.63326,78.1659,77.29941,76.32655,75.05758,..,..,71.70295,70.97527,69.63174,68.4463,68.94338,66.59632,64.15252,59.3257,55.48087,50.0563,43.53843,40.06603,42.3124,37.22081,35.60472,34.29556,32.99359,31.24862,25.24737,23.92632,..,BFA
33,Burundi,..,..,..,86.01212,..,..,..,..,86.07621,..,84.59504,83.01242,80.87553,75.52164,71.0065,66.6796,63.67158,58.25823,54.65358,..,..,..,..,53.93807,..,..,..,..,..,..,61.75502,53.87122,54.90173,51.07092,47.87208,44.44383,26.34836,19.04962,8.14483,8.67468,3.0406,..,..,..,..,..,..,1.73171,..,BDI
34,Cambodia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.69845,21.51822,18.49477,12.69872,..,..,4.30512,..,..,5.99868,6.00457,7.29222,..,7.30719,4.78175,4.91292,..,5.98885,3.41363,7.24703,9.65321,..,KHM
35,Cameroon,..,43.57274,43.46969,45.08094,45.95338,40.12773,38.34313,39.20783,38.03745,36.80138,36.40057,..,..,..,..,..,..,..,30.43205,..,31.14932,32.7973,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.82372,11.34124,..,10.01245,..,8.98197,9.05306,..,CMR
36,Canada,..,..,..,..,..,..,..,..,..,..,..,..,4.56106,5.03168,5.67695,5.69669,5.28685,5.27712,5.25429,5.61412,4.46516,2.45816,2.69869,4.71421,5.6606,6.47212,5.57108,..,1.6118,0.2223,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,CAN
37,Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,11.85644,13.79682,17.28861,9.58893,7.00453,5.5182,3.76064,..,..,..,..,..,..,..,..,..,..,..,..,..,1.52755,1.784,2.70394,4.31338,5.33435,6.43134,8.352,10.71469,12.3257,13.08514,14.33566,13.80365,13.80281,13.69739,13.49628,14.42684,14.49037,..,CPV
38,Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,CYM
39,Central African Republic,..,66.02852,63.9692,61.46497,..,..,..,62.55666,62.87095,..,..,58.81626,58.06031,58.78913,..,..,51.63145,60.52549,61.9891,61.61266,54.57396,57.48278,..,..,..,..,..,..,..,..,..,..,..,..,..,59.78441,59.62623,53.10843,44.66019,44.47092,42.10724,43.20947,39.82737,..,..,..,..,..,..,CAF
